Portfolio WBS,Description,Quantity,UOM,BAC,BAC Rate,Final Qty (AQ),Final Cost (AC),Final Rate,PQ,PV,AQ,AC,EV,Date,Project Name,Start,End
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136986,10.0,2519.148936170213,7.6,1400.0,1232.657534246575,2011-04-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136986,10.0,2519.148936170213,7.6,1400.0,1232.657534246575,2011-05-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136986,35.0,8817.021276595744,31.9,5908.3,5173.9178082191775,2011-06-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136986,50.0,12595.744680851063,49.0,9071.75,7947.397260273973,2011-07-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136986,70.0,17634.042553191488,107.4,19878.3,17419.397260273974,2011-08-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136986,90.0,22672.340425531915,111.7,20668.8,18116.821917808218,2011-09-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136986,90.0,22672.340425531915,130.9,24220.2,24220.0,2011-10-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01
11,Survey - Construction,94.0,hrs,23680.0,251.91489361702128,146.0,27030.0,185.13698630136986,94.0,23680.0,146.0,28430.2,23680.0,2011-11-01,P018 - P01 Airport Carpark,2011-04-01,2011-11-01
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.0,0.0,0.0,0.0,0.0,2011-04-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.1,1495.0,0.0,90.0,0.0,2011-05-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.25,3737.5,0.25,2650.0,3737.5,2011-06-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.5,7475.0,0.65,5050.0,9717.5,2011-07-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,0.75,11212.5,0.9,6850.0,13455.0,2011-08-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,1.0,14950.0,1.0,7650.0,14950.0,2011-09-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,1.0,14950.0,1.0,7650.0,14950.0,2011-10-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01
13,QA Testing,1.0,item,14950.0,14950.0,1.0,7650.0,7650.0,1.0,14950.0,1.0,7650.0,14950.0,2011-11-01,P018 - P01 Airport Carpark,2011-05-01,2011-09-01
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,0.0,0.0,0.0,2011-04-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,0.0,0.0,0.0,2011-05-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,0.0,0.0,0.0,2011-06-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,0.1,130.0,0.0,2011-07-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,0.1,130.0,0.0,2011-08-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,0.9,910.0,0.0,2011-09-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,1.0,1105.0,0.0,2011-10-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01
15,Service Locations,0.0,     ,0.0,0.0,1.0,1105.0,1105.0,0.0,0.0,1.0,1105.0,0.0,2011-11-01,P018 - P01 Airport Carpark,2011-07-01,2011-10-01
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,500.0,953.6170212765958,0.0,0.0,0.0,2011-04-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,1750.0,9101.370000000003,3337.659574468085,2011-05-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,1750.0,9101.370000000003,3337.659574468085,2011-06-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,2200.0,11312.405000000002,4195.914893617021,2011-07-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,2350.0,12095.585000000003,4482.0,2011-08-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,2350.0,12095.585000000003,4482.0,2011-09-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,2350.0,12095.585000000003,4482.0,2011-10-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
21,Clearing to Stockpile,2350.0,m3,4482.0,1.9072340425531915,2350.0,12096.0,5.147234042553191,2350.0,4482.0,2350.0,12095.585000000003,4482.0,2011-11-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,4500.0,2832.1812869664363,0.0,0.0,0.0,2011-04-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,0.0,2011-05-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,0.0,2011-06-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,8268.255319148937,2011-07-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,8832.0,2011-08-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,8832.0,2011-09-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,8832.0,2011-10-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
22,Disposal offsite - Clearing waste,14033.0,     ,8832.0,0.6293736193258748,0.0,0.0,0.0,14033.0,8832.0,0.0,0.0,8832.0,2011-11-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
23,Mulching,14033.0,     ,7000.0,0.49882420009976486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-04-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01
23,Mulching,14033.0,     ,7000.0,0.49882420009976486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-05-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01
23,Mulching,14033.0,     ,7000.0,0.49882420009976486,0.0,0.0,0.0,14033.0,7000.0,0.0,0.0,0.0,2011-06-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01
23,Mulching,14033.0,     ,7000.0,0.49882420009976486,0.0,0.0,0.0,14033.0,7000.0,0.0,0.0,0.0,2011-07-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01
23,Mulching,14033.0,     ,7000.0,0.49882420009976486,0.0,0.0,0.0,14033.0,7000.0,0.0,0.0,7000.0,2011-08-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01
23,Mulching,14033.0,     ,7000.0,0.49882420009976486,0.0,0.0,0.0,14033.0,7000.0,0.0,0.0,7000.0,2011-09-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01
23,Mulching,14033.0,     ,7000.0,0.49882420009976486,0.0,0.0,0.0,14033.0,7000.0,0.0,0.0,7000.0,2011-10-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01
23,Mulching,14033.0,     ,7000.0,0.49882420009976486,0.0,0.0,0.0,14033.0,7000.0,0.0,0.0,7000.0,2011-11-01,P018 - P01 Airport Carpark,2011-06-01,2011-08-01
31,Strip Topsoil to Stockpile,1151.0,m3,9869.825,8.575000000000001,1151.0,17447.0,15.158123370981755,500.0,4287.500000000001,0.0,0.0,0.0,2011-04-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
31,Strip Topsoil to Stockpile,1151.0,m3,9869.825,8.575000000000001,1151.0,17447.0,15.158123370981755,1151.0,9869.825,850.0,13286.15,7288.750000000001,2011-05-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
31,Strip Topsoil to Stockpile,1151.0,m3,9869.825,8.575000000000001,1151.0,17447.0,15.158123370981755,1151.0,9869.825,850.0,13286.15,7288.750000000001,2011-06-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
31,Strip Topsoil to Stockpile,1151.0,m3,9869.825,8.575000000000001,1151.0,17447.0,15.158123370981755,1151.0,9869.825,1050.0,16303.484999999999,9003.750000000002,2011-07-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
31,Strip Topsoil to Stockpile,1151.0,m3,9869.825,8.575000000000001,1151.0,17447.0,15.158123370981755,1151.0,9869.825,1151.0,17446.664999999997,9869.825,2011-08-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
31,Strip Topsoil to Stockpile,1151.0,m3,9869.825,8.575000000000001,1151.0,17447.0,15.158123370981755,1151.0,9869.825,1151.0,17446.664999999997,9869.825,2011-09-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
31,Strip Topsoil to Stockpile,1151.0,m3,9869.825,8.575000000000001,1151.0,17447.0,15.158123370981755,1151.0,9869.825,1151.0,17446.664999999997,9869.825,2011-10-01,P018 - P01 Airport Carpark,2011-04-01,2011-08-01
